method,run_dir,run_name,valid_generation_rate,invalid_generation_rate,best_generation,best_combined_score,last_generation,last_combined_score,selected_generation,selected_holdout_score,selected_holdout_correct,selected_holdout_size,selected_holdout_wall_time_sec,selected_holdout_vlm_call_count,final_test_score,final_test_correct,final_test_size,final_test_wall_time_sec,final_test_vlm_call_count,paper_ready_candidate,avg_generation_wall_time_sec,avg_generation_vlm_call_count
fixed,/gluon4/xl693/evolve/results/advanced_vqa_task_fixed_20260329_114254_repeat01,advanced_vqa_task_fixed_20260329_114254_repeat01,1.0,0.0,32,0.59375,49,0.5703125,32,0.5488721804511278,365,665,143.012,665,0.5239766081871345,448,855,186.25,855,True,89.74122,389.1
fixed,/gluon4/xl693/evolve/results/advanced_vqa_task_fixed_20260330_091938_repeat01,advanced_vqa_task_fixed_20260330_091938_repeat01,1.0,0.0,5,0.5859375,49,0.57421875,15,0.530827067669173,353,665,129.817,665,0.5333333333333333,456,855,184.019,855,True,90.02848,389.1
fixed,/gluon4/xl693/evolve/results/advanced_vqa_task_fixed_20260330_104402_repeat02,advanced_vqa_task_fixed_20260330_104402_repeat02,1.0,0.0,10,0.5859375,49,0.56640625,10,0.530827067669173,353,665,140.164,665,0.5298245614035088,453,855,180.155,855,True,90.26907999999999,389.1
fixed,/gluon4/xl693/evolve/results/advanced_vqa_task_fixed_20260331_094702_repeat01,advanced_vqa_task_fixed_20260331_094702_repeat01,0.96,0.04,46,0.5859375,49,0.578125,46,0.5338345864661654,355,665,140.704,665,0.5239766081871345,448,855,183.575,855,True,82.59954166666667,366.9166666666667
fixed,/gluon4/xl693/evolve/results/advanced_vqa_task_fixed_20260331_110628_repeat02,advanced_vqa_task_fixed_20260331_110628_repeat02,1.0,0.0,47,0.59375,49,0.56640625,41,0.530827067669173,353,665,141.243,665,0.5251461988304094,449,855,180.893,855,True,89.07979999999999,389.1
reasoning,/gluon4/xl693/evolve/results/advanced_vqa_task_reasoning_20260329_130634_repeat01,advanced_vqa_task_reasoning_20260329_130634_repeat01,1.0,0.0,47,0.58203125,49,0.56640625,18,0.5398496240601504,359,665,140.28,665,0.5157894736842106,441,855,187.636,855,True,92.17165999999999,389.1
order_vote,/gluon4/xl693/evolve/results/advanced_vqa_task_order_vote_20260329_143306_repeat01,advanced_vqa_task_order_vote_20260329_143306_repeat01,0.98,0.02,39,0.63671875,49,0.625,39,0.6300751879699248,419,665,255.388,1330,0.5824561403508772,498,855,332.168,1710,True,154.52063265306123,729.3061224489796
order_vote,/gluon4/xl693/evolve/results/advanced_vqa_task_order_vote_20260330_120757_repeat01,advanced_vqa_task_order_vote_20260330_120757_repeat01,0.96,0.04,27,0.640625,49,0.6328125,39,0.6330827067669172,421,665,249.373,1330,0.5707602339181287,488,855,331.858,1710,True,142.55266666666668,678.375
order_vote,/gluon4/xl693/evolve/results/advanced_vqa_task_order_vote_20260330_143408_repeat02,advanced_vqa_task_order_vote_20260330_143408_repeat02,0.94,0.06,48,0.6484375,49,0.63671875,27,0.6105263157894737,406,665,249.546,1330,0.5742690058479533,491,855,336.345,1710,False,143.8455319148936,681.9148936170212
order_vote,/gluon4/xl693/evolve/results/advanced_vqa_task_order_vote_20260331_122931_repeat01,advanced_vqa_task_order_vote_20260331_122931_repeat01,0.98,0.02,19,0.64453125,49,0.63671875,30,0.6165413533834586,410,665,244.659,1330,0.5871345029239766,502,855,329.939,1710,True,152.08285714285716,729.3061224489796
order_vote,/gluon4/xl693/evolve/results/advanced_vqa_task_order_vote_20260331_145437_repeat02,advanced_vqa_task_order_vote_20260331_145437_repeat02,0.98,0.02,21,0.640625,49,0.62109375,21,0.6345864661654136,422,665,250.91,1330,0.5801169590643275,496,855,326.951,1710,True,154.7111224489796,729.3061224489796
order_rerank,/gluon4/xl693/evolve/results/advanced_vqa_task_order_rerank_20260329_170602_repeat01,advanced_vqa_task_order_rerank_20260329_170602_repeat01,0.9,0.1,17,0.6484375,49,0.0,17,0.6,399,665,334.663,1808,0.5590643274853802,478,855,420.357,2226,True,70.21984444444445,334.22222222222223
order_rerank,/gluon4/xl693/evolve/results/advanced_vqa_task_order_rerank_20260330_165807_repeat01,advanced_vqa_task_order_rerank_20260330_165807_repeat01,0.9,0.1,9,0.6484375,49,0.0,9,0.5909774436090226,393,665,325.105,1784,0.5578947368421052,477,855,419.72,2228,True,70.41704444444444,332.22222222222223
order_rerank,/gluon4/xl693/evolve/results/advanced_vqa_task_order_rerank_20260330_184257_repeat02,advanced_vqa_task_order_rerank_20260330_184257_repeat02,0.9,0.1,48,0.6484375,49,0.0,5,0.5924812030075188,394,665,324.641,1800,0.5590643274853802,478,855,417.319,2238,True,73.19062222222222,344.7111111111111
order_rerank,/gluon4/xl693/evolve/results/advanced_vqa_task_order_rerank_20260331_172108_repeat01,advanced_vqa_task_order_rerank_20260331_172108_repeat01,0.88,0.12,47,0.6484375,49,0.0,47,0.5954887218045113,396,665,326.217,1794,0.5508771929824562,471,855,420.865,2232,False,70.63243181818181,334.3636363636364
order_rerank,/gluon4/xl693/evolve/results/advanced_vqa_task_order_rerank_20260331_190226_repeat02,advanced_vqa_task_order_rerank_20260331_190226_repeat02,0.9,0.1,6,0.6484375,49,0.0,26,0.5969924812030075,397,665,331.033,1784,0.5625730994152047,481,855,407.925,2222,True,72.57820000000001,335.8666666666667
order_vote_plus,/gluon4/xl693/evolve/results/advanced_vqa_task_order_vote_plus_20260329_185134_repeat01,advanced_vqa_task_order_vote_plus_20260329_185134_repeat01,0.92,0.08,21,0.6171875,49,0.0,16,0.5488721804511278,365,665,289.342,1573,0.5532163742690058,473,855,381.576,1989,False,135.9112608695652,652.0869565217391
